P0,P2_g,P8_a_a,P8_a_b,P8_a_c,P8_a_d,P8_a_e,P8_a_f,P8_a_g,P8_a_h,P8_a_j,P8_b_a,P8_b_b,P8_b_c,P8_b_d,P8_b_e,P8_b_f,P8_b_g,P8_b_h,P8_b_i,P8_b_j,P8_b_k,P8_b_l,P8_b_m,P8_c_a,P8_c_b,P8_c_c,P8_c_d,P8_c_e,P8_c_f,P8_c_g,P8_c_h,P8_c_i,P8_c_j,P8_c_k,P8_c_l,P8_d_a,P8_d_b,P8_d_c,P8_d_d,P8_d_e,P8_d_f,P8_d_g,P8_d_h,P8_d_i,role,tamanho_empresa,instrucao,P4_b_a,P4_b_b,P4_b_c,P4_b_d,P4_b_e,P4_b_f,P4_b_g,P4_b_h,P4_d_a,P4_d_b,P4_d_c,P4_d_d,P4_d_e,P4_d_f,P4_d_g,P4_d_h,P4_d_i,P4_d_j,P4_d_k,P4_d_l,P4_d_m,P4_d_n,P4_f_a,P4_f_b,P4_f_c,P4_f_d,P4_f_e,P4_f_f,P4_f_g,P4_f_h,P4_f_i,P4_f_j,P4_f_k,P4_f_l,P4_f_m,P4_f_n,P4_f_o,P4_f_p,P4_f_q,P4_f_r,P4_f_s,P4_f_t,P4_f_u,P4_f_v,P4_f_x,P4_f_y,P4_f_z,P4_f_z1,P4_f_z2,P4_f_z3,P4_f_z4,P4_f_z5,P4_f_z6,P4_f_z7,P4_f_z8,P4_f_z9,P4_g_a,P4_g_b,P4_g_c,P4_g_d,P4_g_e,P4_g_f,P4_g_g,P4_h_a,P4_h_b,P4_h_c,P4_h_d,P4_h_e,P4_h_f,P4_h_g,P4_h_h,P4_h_i,P4_h_j,P4_h_k,P4_h_l,P4_h_m,P4_h_n,P4_h_o,P4_h_p,P4_h_q,P4_h_r,P4_h_s,P4_h_t,P4_h_u,P4_h_v,respostas_geral,respostas_especificas
zxwv1axhtjl3ccjczxwv0wbf2qw8r8r5,Pleno,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,has_role,Grande porte,Pós-graduação,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19
zpucrda7fzleu9ylzpuc9mrqk12xtbcu,Pleno,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,has_role,Grande porte,Pós-graduação,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12
zo6oav14153wvnfzmqmzo6oav19cql86,Pleno,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,has_role,Pequeno porte,Mestrado,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
zndhxc80wuoynair1r1tdczndhxc8fvw,Pleno,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,has_role,Grande porte,Graduação/Bacharelado,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,14
zn7t160z77a429zn7t16rztkbk783s6a,Pleno,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,has_role,Grande porte,Pós-graduação,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19
zc6bos62l5veeq5ezc6oyqraeh3la68y,Júnior,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,no_role,Grande porte,Sem diploma,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
z98x57phv9yhz98poqc8lb2l8o4eevpo,Pleno,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,has_role,Grande porte,Graduação/Bacharelado,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19
z5fmkny85mkju06zz5fevjbxj4bntc4w,Júnior,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,has_role,Grande porte,Graduação/Bacharelado,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4
z190gohu7pf6bkagz1906h2xh5ytur96,Pleno,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,has_role,Grande porte,Graduação/Bacharelado,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18
yy4l1rby1tt0lnww5jyy4l1r2xcqayjh,Pleno,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,has_role,Grande porte,Graduação/Bacharelado,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
